,name_origen,name_destino,COMARCA_origen,COMARCA_destino,cat,WORK,FREQUENT,viajes,car,transit,walk,viajes_km,car_km,transit_km,walk_km
123,Aia AM,Irun,UROLA_KOSTA,BAJO_BIDASOA,>25,1,1,20.322,17.2737,3.0483000000000002,0.0,609.849,518.37165,91.47735,0.0
124,Aia AM,Lasarte-Oria,UROLA_KOSTA,DONOSTIALDEA,<25,0,0,173.831,121.6817,52.149300000000004,0.0,1703.568,1192.4976,511.0704,0.0
125,Aia AM,Lasarte-Oria,UROLA_KOSTA,DONOSTIALDEA,<25,0,1,479.552,335.6864,143.8656,0.0,4873.239,3411.2673,1461.9717,0.0
126,Aia AM,Lasarte-Oria,UROLA_KOSTA,DONOSTIALDEA,<25,1,0,204.68200000000002,143.2774,61.4046,0.0,2003.283,1402.2981,600.9849,0.0
127,Aia AM,Lasarte-Oria,UROLA_KOSTA,DONOSTIALDEA,<25,1,1,63.891999999999996,44.724399999999996,19.1676,0.0,648.13,453.691,194.439,0.0
128,Aia AM,Lazkao,UROLA_KOSTA,GOIERRI,<25,0,0,8.639,6.0473,2.5917000000000003,0.0,186.755,130.7285,56.0265,0.0
129,Aia AM,Lazkao,UROLA_KOSTA,GOIERRI,<25,0,1,28.98,20.286,8.693999999999999,0.0,519.2090000000001,363.44629999999995,155.7627,0.0
130,Aia AM,Lazkao,UROLA_KOSTA,GOIERRI,<25,1,0,14.457,10.119900000000001,4.3370999999999995,0.0,289.504,202.65279999999998,86.85119999999999,0.0
131,Aia AM,Lazkao,UROLA_KOSTA,GOIERRI,>25,1,0,2.262,1.9227,0.3393,0.0,58.683,49.88054999999999,8.80245,0.0
132,Aia AM,Legazpi,UROLA_KOSTA,GOIERRI,<25,0,0,1.667,1.1669,0.5001,0.0,39.355,27.5485,11.8065,0.0
133,Aia AM,Legazpi,UROLA_KOSTA,GOIERRI,<25,0,1,7.955,5.5685,2.3865,0.0,191.64,134.14799999999997,57.49199999999999,0.0
134,Aia AM,Legazpi,UROLA_KOSTA,GOIERRI,>25,0,0,5.33,4.5305,0.7995,0.0,145.525,123.69624999999999,21.82875,0.0
135,Aia AM,Legazpi,UROLA_KOSTA,GOIERRI,>25,0,1,9.974,8.4779,1.4961,0.0,270.182,229.6547,40.5273,0.0
136,Aia AM,Legazpi,UROLA_KOSTA,GOIERRI,>25,1,0,12.836,10.910599999999999,1.9253999999999998,0.0,364.475,309.80375,54.67125,0.0
137,Aia AM,Legazpi,UROLA_KOSTA,GOIERRI,>25,1,1,24.03,20.4255,3.6045,0.0,714.29,607.1465,107.1435,0.0
138,Aia AM,Legorreta AM,UROLA_KOSTA,TOLOSALDEA,<25,0,0,68.516,47.9612,20.5548,0.0,658.775,461.1425,197.6325,0.0
139,Aia AM,Legorreta AM,UROLA_KOSTA,TOLOSALDEA,<25,0,1,194.14000000000001,135.898,58.242,0.0,2183.361,1528.3527,655.0083,0.0
140,Aia AM,Legorreta AM,UROLA_KOSTA,TOLOSALDEA,<25,1,0,77.632,54.3424,23.2896,0.0,885.0640000000001,619.5448,265.5192,0.0
141,Aia AM,Legorreta AM,UROLA_KOSTA,TOLOSALDEA,<25,1,1,8.738,6.1166,2.6214,0.0,149.37300000000002,104.5611,44.811899999999994,0.0
142,Aia AM,Lezo,UROLA_KOSTA,DONOSTIALDEA,<25,0,0,23.573999999999998,16.5018,7.0722,0.0,522.006,365.4042,156.6018,0.0
143,Aia AM,Lezo,UROLA_KOSTA,DONOSTIALDEA,<25,0,1,35.533,24.8731,10.6599,0.0,786.829,550.7802999999999,236.0487,0.0
144,Aia AM,Lezo,UROLA_KOSTA,DONOSTIALDEA,<25,1,0,17.338,12.136600000000001,5.2014,0.0,350.679,245.47529999999998,105.2037,0.0
145,Aia AM,Lezo,UROLA_KOSTA,DONOSTIALDEA,<25,1,1,12.052,8.436399999999999,3.6155999999999997,0.0,262.973,184.0811,78.8919,0.0
146,Aia AM,Lezo,UROLA_KOSTA,DONOSTIALDEA,>25,0,0,3.896,3.3116,0.5843999999999998,0.0,105.575,89.73875000000001,15.836249999999998,0.0
147,Aia AM,Lezo,UROLA_KOSTA,DONOSTIALDEA,>25,0,1,2.765,2.35025,0.41475,0.0,71.535,60.80474999999999,10.73025,0.0
148,Aia AM,Lezo,UROLA_KOSTA,DONOSTIALDEA,>25,1,1,5.477,4.65545,0.82155,0.0,140.068,119.0578,21.0102,0.0
149,Aia AM,Mutriku AM,UROLA_KOSTA,BAJO_DEBA,<25,0,0,22.937,16.0559,6.8811,0.0,429.56,300.692,128.868,0.0
150,Aia AM,Mutriku AM,UROLA_KOSTA,BAJO_DEBA,<25,0,1,80.93599999999999,56.6552,24.2808,0.0,1631.091,1141.7637,489.3273,0.0
151,Aia AM,Mutriku AM,UROLA_KOSTA,BAJO_DEBA,<25,1,0,19.593,13.7151,5.8778999999999995,0.0,360.733,252.5131,108.2199,0.0
152,Aia AM,Mutriku AM,UROLA_KOSTA,BAJO_DEBA,<25,1,1,22.560000000000002,15.792,6.768000000000001,0.0,449.005,314.3035,134.70149999999998,0.0
153,Aia AM,Mutriku AM,UROLA_KOSTA,BAJO_DEBA,>25,0,0,2.389,2.03065,0.3583499999999999,0.0,65.157,55.38345,9.77355,0.0
154,Aia AM,Oiartzun,UROLA_KOSTA,DONOSTIALDEA,<25,0,0,49.242000000000004,34.4694,14.772599999999999,0.0,1106.951,774.8657,332.08529999999996,0.0
155,Aia AM,Oiartzun,UROLA_KOSTA,DONOSTIALDEA,<25,0,1,128.544,89.9808,38.5632,0.0,2805.582,1963.9073999999998,841.6745999999999,0.0
156,Aia AM,Oiartzun,UROLA_KOSTA,DONOSTIALDEA,<25,1,0,49.118,34.3826,14.735399999999998,0.0,1076.994,753.8957999999999,323.0982,0.0
157,Aia AM,Oiartzun,UROLA_KOSTA,DONOSTIALDEA,<25,1,1,12.974,9.081800000000001,3.8922,0.0,279.724,195.8068,83.91720000000001,0.0
158,Aia AM,Oiartzun,UROLA_KOSTA,DONOSTIALDEA,>25,0,0,10.174,8.6479,1.5261,0.0,283.067,240.60694999999998,42.460049999999995,0.0
159,Aia AM,Oiartzun,UROLA_KOSTA,DONOSTIALDEA,>25,0,1,40.029,34.02465,6.00435,0.0,1064.711,905.0043499999999,159.70665,0.0
160,Aia AM,Oiartzun,UROLA_KOSTA,DONOSTIALDEA,>25,1,0,17.476,14.8546,2.6214,0.0,478.741,406.92984999999993,71.81115,0.0
161,Aia AM,Oiartzun,UROLA_KOSTA,DONOSTIALDEA,>25,1,1,8.909,7.57265,1.33635,0.0,245.475,208.65375,36.821250000000006,0.0
162,Aia AM,Ordizia,UROLA_KOSTA,GOIERRI,<25,0,0,20.891000000000002,14.623700000000001,6.2673000000000005,0.0,421.52099999999996,295.06469999999996,126.4563,0.0
